booking_id,customer_id,hotel_id,room_id,created_at,checkin_date,checkout_date,nights,currency,total_amount,status,source
B000082,C01281,H008,H008-R009,2025-05-11,2025-06-04,2025-06-07,3,GBP,595.27,checked_out,expedia
B000083,C01900,H001,H001-R022,2025-01-19,2025-01-22,2025-01-23,1,EUR,142.52,confirmed,web
B000084,C00379,H004,H004-R017,2025-01-15,2025-01-22,2025-01-23,1,EUR,185.29,checked_out,mobile
B000085,C02843,H008,H008-R024,2025-01-19,2025-01-30,2025-01-31,1,GBP,122.65,checked_out,expedia
B000086,C01039,H002,H002-R013,2025-04-16,2025-05-01,2025-05-04,3,EUR,484.32,confirmed,mobile
B000087,C00330,H003,H003-R009,2025-01-30,2025-02-21,2025-02-23,2,EUR,271.39,cancelled,booking.com
B000088,C01973,H005,H005-R019,2025-04-18,2025-05-08,2025-05-11,3,EUR,430.74,confirmed,mobile
B000089,C00233,H003,H003-R018,2025-05-03,2025-05-17,2025-05-18,1,USD,211.23,checked_out,mobile
B000090,C01167,H005,H005-R011,2025-03-30,2025-04-07,2025-04-08,1,EUR,185.1,checked_out,mobile
B000091,C02398,H008,H008-R024,2025-02-19,2025-03-04,2025-03-07,3,EUR,373.68,checked_out,mobile
B000092,C00650,H008,H008-R006,2025-03-27,2025-04-08,2025-04-10,2,EUR,439.61,confirmed,walk_in
B000093,C02053,H006,H006-R024,2025-02-21,2025-02-27,2025-03-05,6,EUR,1327.66,confirmed,web
B000094,C02086,H004,H004-R012,2025-05-12,2025-05-30,2025-06-05,6,EUR,1215.34,checked_out,mobile
B000095,C00117,H004,H004-R017,2025-06-18,2025-07-07,2025-07-08,1,EUR,135.82,checked_out,expedia
B000096,C00180,H006,H006-R022,2025-02-01,2025-02-04,2025-02-05,1,USD,134.1,confirmed,expedia
B000097,C01809,H007,H007-R005,2025-04-21,2025-04-21,2025-04-28,7,EUR,1337.9,checked_out,booking.com
B000098,C01257,H006,H006-R017,2025-07-11,2025-07-23,2025-07-28,5,EUR,1014.83,checked_out,mobile
B000099,C02880,H008,H008-R014,2025-06-29,2025-07-13,2025-07-14,1,EUR,197.3,confirmed,booking.com
B000100,C02642,H006,H006-R008,2025-01-11,2025-01-16,2025-01-23,7,EUR,1283.07,checked_out,walk_in
B000101,C00291,H002,H002-R012,2025-06-27,2025-07-20,2025-07-21,1,EUR,123.81,confirmed,expedia
B000102,C01401,H007,H007-R024,2025-06-19,2025-07-13,2025-07-15,2,GBP,321.22,confirmed,web
B000103,C02712,H006,H006-R020,2025-03-04,2025-03-17,2025-03-20,3,EUR,548.56,confirmed,mobile
B000104,C02489,H007,H007-R021,2025-02-16,2025-02-18,2025-02-21,3,EUR,432.95,confirmed,web
B000105,C01017,H003,H003-R005,2025-07-13,2025-07-26,2025-07-29,3,USD,561.12,confirmed,web
B000106,C01788,H005,H005-R016,2025-04-01,2025-04-24,2025-04-27,3,EUR,390.85,cancelled,walk_in
B000107,C01689,H006,H006-R011,2025-03-08,2025-03-15,2025-03-20,5,USD,668.37,checked_out,expedia
B000108,C02296,H002,H002-R001,2025-06-23,2025-07-14,2025-07-19,5,EUR,729.91,confirmed,mobile
B000109,C02391,H006,H006-R010,2025-04-26,2025-05-04,2025-05-08,4,USD,860.81,confirmed,mobile
B000110,C02000,H008,H008-R013,2025-01-16,2025-01-30,2025-01-31,1,USD,200.3,checked_out,walk_in
B000111,C01109,H006,H006-R006,2025-03-17,2025-03-25,2025-03-30,5,USD,877.51,confirmed,web
B000112,C00102,H002,H002-R019,2025-03-22,2025-04-01,2025-04-05,4,EUR,698.82,cancelled,walk_in
B000113,C00730,H007,H007-R009,2025-06-19,2025-06-26,2025-06-27,1,EUR,153.42,confirmed,web
B000114,C02982,H003,H003-R021,2025-01-31,2025-02-10,2025-02-16,6,USD,960.19,confirmed,booking.com
B000115,C01443,H008,H008-R014,2025-01-29,2025-01-31,2025-02-01,1,USD,218.35,checked_out,booking.com
B000116,C01027,H001,H001-R003,2025-02-17,2025-02-21,2025-02-25,4,EUR,696.49,cancelled,expedia
B000117,C02595,H004,H004-R018,2025-07-16,2025-07-19,2025-07-23,4,EUR,765.34,confirmed,expedia
B000118,C02637,H005,H005-R020,2025-06-08,2025-06-30,2025-07-01,1,USD,145.37,cancelled,expedia
B000119,C00113,H003,H003-R021,2025-03-14,2025-04-08,2025-04-10,2,EUR,355.5,no_show,mobile
B000120,C02558,H006,H006-R004,2025-06-30,2025-07-20,2025-07-24,4,GBP,687.17,cancelled,mobile
B000121,C02918,H002,H002-R025,2025-06-28,2025-07-08,2025-07-10,2,EUR,268.45,checked_out,booking.com
B000122,C02978,H008,H008-R008,2025-07-04,2025-07-28,2025-08-01,4,USD,862.06,confirmed,walk_in
B000123,C00495,H005,H005-R011,2025-05-08,2025-06-02,2025-06-03,1,USD,207.33,confirmed,expedia
B000124,C01302,H006,H006-R017,2025-06-19,2025-06-26,2025-06-28,2,EUR,383.37,confirmed,walk_in
B000125,C02870,H006,H006-R009,2025-05-16,2025-05-29,2025-05-31,2,EUR,398.87,confirmed,web
B000126,C02904,H005,H005-R006,2025-06-28,2025-07-22,2025-07-27,5,EUR,955.03,checked_out,walk_in
B000127,C02282,H003,H003-R009,2025-01-30,2025-02-05,2025-02-09,4,EUR,674.3,confirmed,web
B000128,C01386,H002,H002-R019,2025-03-27,2025-03-28,2025-04-01,4,EUR,627.5,checked_out,expedia
B000129,C02216,H007,H007-R023,2025-05-17,2025-05-19,2025-05-21,2,EUR,340.61,checked_out,booking.com
B000130,C01642,H003,H003-R023,2025-07-05,2025-07-08,2025-07-12,4,EUR,642.8,checked_out,mobile
B000131,C00351,H001,H001-R022,2025-02-23,2025-03-09,2025-03-11,2,EUR,362.29,confirmed,web
B000132,C02808,H004,H004-R023,2025-05-17,2025-05-30,2025-06-01,2,USD,309.38,confirmed,walk_in
B000133,C00426,H007,H007-R006,2025-04-05,2025-04-15,2025-04-20,5,USD,1098.68,confirmed,mobile
B000134,C00630,H007,H007-R025,2025-05-21,2025-06-09,2025-06-13,4,EUR,862.69,cancelled,web
B000135,C01806,H002,H002-R006,2025-06-29,2025-07-10,2025-07-11,1,EUR,220.2,confirmed,walk_in
B000136,C00823,H003,H003-R017,2025-02-27,2025-03-07,2025-03-09,2,EUR,337.69,confirmed,mobile
B000137,C01015,H008,H008-R022,2025-04-07,2025-04-28,2025-04-30,2,GBP,336.64,cancelled,walk_in
B000138,C02669,H001,H001-R013,2025-04-05,2025-04-08,2025-04-11,3,EUR,596.01,checked_out,web
B000139,C00070,H002,H002-R007,2025-07-15,2025-08-09,2025-08-12,3,EUR,483.88,confirmed,expedia
B000140,C02238,H004,H004-R018,2025-05-07,2025-05-15,2025-05-18,3,EUR,540.19,confirmed,expedia
B000141,C02847,H007,H007-R006,2025-01-24,2025-02-10,2025-02-12,2,GBP,406.81,confirmed,expedia
B000142,C00257,H002,H002-R016,2025-05-21,2025-06-14,2025-06-20,6,EUR,859.82,confirmed,expedia
B000143,C01544,H003,H003-R007,2025-06-23,2025-06-23,2025-06-30,7,EUR,1114.56,confirmed,booking.com
B000144,C01368,H004,H004-R017,2025-07-21,2025-07-28,2025-07-31,3,EUR,388.56,cancelled,booking.com
B000145,C01759,H004,H004-R016,2025-03-31,2025-04-14,2025-04-16,2,EUR,328.36,confirmed,web
B000146,C00516,H003,H003-R003,2025-07-10,2025-07-22,2025-07-24,2,EUR,400.55,confirmed,mobile
B000147,C02868,H006,H006-R002,2025-03-01,2025-03-09,2025-03-12,3,EUR,485.57,checked_out,walk_in
B000148,C02102,H007,H007-R018,2025-07-12,2025-07-21,2025-07-27,6,EUR,970.12,checked_out,web
B000149,C01094,H002,H002-R003,2025-06-27,2025-07-19,2025-07-21,2,EUR,342.89,confirmed,expedia
B000150,C01556,H005,H005-R017,2025-01-06,2025-01-15,2025-01-22,7,EUR,1011.56,cancelled,mobile
B000151,C00444,H005,H005-R012,2025-03-09,2025-03-27,2025-03-29,2,EUR,364.85,checked_out,walk_in
B000152,C01320,H002,H002-R021,2025-01-19,2025-02-08,2025-02-13,5,EUR,714.9,confirmed,web
B000153,C01110,H008,H008-R021,2025-05-14,2025-06-01,2025-06-03,2,EUR,356.2,checked_out,walk_in
B000154,C00609,H002,H002-R012,2025-03-02,2025-03-20,2025-03-22,2,EUR,318.28,checked_out,mobile
B000155,C02474,H008,H008-R019,2025-01-13,2025-01-23,2025-01-27,4,GBP,794.07,checked_out,web
B000156,C00753,H007,H007-R025,2025-01-15,2025-01-28,2025-02-02,5,USD,708.83,checked_out,walk_in
B000157,C02308,H007,H007-R014,2025-06-25,2025-07-19,2025-07-22,3,EUR,463.24,cancelled,web
B000158,C01794,H002,H002-R011,2025-04-25,2025-05-01,2025-05-03,2,EUR,438.31,checked_out,booking.com
B000159,C00756,H001,H001-R010,2025-04-11,2025-04-29,2025-05-02,3,USD,574.9,no_show,walk_in
B000160,C01311,H004,H004-R025,2025-03-20,2025-04-01,2025-04-02,1,EUR,184.92,checked_out,expedia
B000161,C00637,H005,H005-R008,2025-05-07,2025-05-21,2025-05-25,4,GBP,593.11,checked_out,mobile
B000162,C00447,H008,H008-R024,2025-01-06,2025-01-26,2025-01-29,3,EUR,662.21,confirmed,booking.com
B000163,C02077,H003,H003-R014,2025-02-15,2025-03-06,2025-03-07,1,GBP,137.44,checked_out,booking.com
B000164,C02840,H005,H005-R012,2025-04-19,2025-05-12,2025-05-13,1,EUR,217.5,confirmed,booking.com
B000165,C00804,H005,H005-R025,2025-02-03,2025-02-17,2025-02-19,2,EUR,316.38,cancelled,booking.com
B000166,C02011,H004,H004-R025,2025-04-10,2025-04-19,2025-04-25,6,EUR,826.56,cancelled,expedia
B000167,C01600,H008,H008-R023,2025-06-14,2025-07-01,2025-07-05,4,EUR,857.19,checked_out,walk_in
B000168,C00340,H003,H003-R003,2025-07-06,2025-07-17,2025-07-21,4,EUR,595.3,confirmed,expedia
B000169,C02842,H001,H001-R018,2025-05-29,2025-06-09,2025-06-12,3,EUR,469.13,checked_out,booking.com
B000170,C01781,H004,H004-R022,2025-04-23,2025-05-17,2025-05-18,1,EUR,140.46,cancelled,walk_in
B000171,C01445,H007,H007-R016,2025-02-06,2025-03-03,2025-03-05,2,EUR,320.59,confirmed,mobile
B000172,C00376,H005,H005-R019,2025-02-27,2025-03-05,2025-03-07,2,EUR,295.34,confirmed,web
B000173,C02878,H008,H008-R009,2025-05-27,2025-06-10,2025-06-12,2,EUR,296.8,checked_out,expedia
B000174,C01328,H008,H008-R010,2025-07-03,2025-07-27,2025-07-29,2,EUR,297.33,confirmed,booking.com
B000175,C02263,H004,H004-R008,2025-01-11,2025-01-11,2025-01-13,2,EUR,398.04,confirmed,expedia
B000176,C00530,H008,H008-R012,2025-01-30,2025-02-03,2025-02-06,3,EUR,451.59,checked_out,booking.com
B000177,C00955,H008,H008-R011,2025-04-11,2025-04-25,2025-04-29,4,EUR,621.45,checked_out,expedia
B000178,C02340,H007,H007-R016,2025-05-20,2025-06-14,2025-06-19,5,EUR,848.32,checked_out,web
B000179,C00145,H004,H004-R020,2025-02-14,2025-03-07,2025-03-08,1,EUR,143.3,confirmed,mobile
B000180,C02941,H001,H001-R002,2025-01-16,2025-01-30,2025-02-02,3,EUR,532.03,confirmed,web
B000181,C02059,H002,H002-R024,2025-02-04,2025-02-07,2025-02-08,1,EUR,200.56,confirmed,web
B000182,C01586,H007,H007-R001,2025-06-26,2025-06-26,2025-06-29,3,USD,528.42,confirmed,booking.com
B000183,C01393,H007,H007-R010,2025-03-10,2025-03-28,2025-03-29,1,EUR,205.49,confirmed,expedia
B000184,C02657,H007,H007-R020,2025-01-10,2025-01-15,2025-01-18,3,EUR,494.91,confirmed,mobile
B000185,C02985,H008,H008-R017,2025-04-20,2025-05-11,2025-05-14,3,EUR,483.82,confirmed,mobile
B000186,C02643,H002,H002-R011,2025-03-28,2025-04-15,2025-04-16,1,EUR,136.87,cancelled,mobile
B000187,C00838,H005,H005-R021,2025-01-05,2025-01-27,2025-01-30,3,GBP,389.32,checked_out,mobile
B000188,C01369,H007,H007-R011,2025-03-02,2025-03-27,2025-03-29,2,EUR,402.06,checked_out,mobile
B000189,C00755,H005,H005-R004,2025-02-06,2025-02-25,2025-02-27,2,EUR,252.46,confirmed,walk_in
B000190,C01461,H002,H002-R013,2025-01-07,2025-01-28,2025-02-02,5,EUR,1108.52,no_show,web
B000191,C00363,H002,H002-R007,2025-02-04,2025-02-10,2025-02-13,3,EUR,633.69,confirmed,mobile
B000192,C00023,H008,H008-R007,2025-04-01,2025-04-05,2025-04-06,1,EUR,127.34,no_show,walk_in
B000193,C02582,H003,H003-R008,2025-02-01,2025-02-03,2025-02-09,6,EUR,1276.14,checked_out,walk_in
B000194,C01505,H005,H005-R007,2025-01-03,2025-01-10,2025-01-14,4,GBP,565.25,checked_out,expedia
B000195,C02463,H004,H004-R018,2025-05-07,2025-05-08,2025-05-09,1,EUR,192.89,checked_out,expedia
B000196,C01672,H004,H004-R020,2025-01-14,2025-01-24,2025-01-25,1,EUR,126.54,confirmed,booking.com
B000197,C02048,H008,H008-R016,2025-07-15,2025-07-31,2025-08-02,2,EUR,303.72,confirmed,expedia
B000198,C01533,H001,H001-R007,2025-04-12,2025-04-24,2025-04-28,4,GBP,881.29,checked_out,mobile
B000199,C00703,H002,H002-R019,2025-04-14,2025-05-04,2025-05-10,6,USD,976.8,confirmed,booking.com
B000200,C01783,H001,H001-R016,2025-04-22,2025-05-02,2025-05-03,1,USD,153.72,checked_out,web
B000201,C01752,H007,H007-R022,2025-02-19,2025-03-10,2025-03-16,6,USD,1307.71,confirmed,web
B000202,C02538,H003,H003-R001,2025-06-20,2025-06-27,2025-07-01,4,EUR,886.7,confirmed,expedia
B000203,C02198,H008,H008-R013,2025-03-16,2025-03-16,2025-03-17,1,EUR,134.63,checked_out,expedia
B000204,C01514,H008,H008-R009,2025-03-28,2025-04-05,2025-04-09,4,GBP,895.53,confirmed,walk_in
B000205,C01447,H008,H008-R003,2025-04-10,2025-04-23,2025-04-26,3,EUR,519.3,confirmed,mobile
B000206,C02962,H003,H003-R010,2025-05-21,2025-06-15,2025-06-19,4,EUR,609.77,cancelled,web
B000207,C02083,H005,H005-R003,2025-03-10,2025-04-02,2025-04-09,7,EUR,1441.86,cancelled,mobile
B000208,C01347,H008,H008-R013,2025-07-08,2025-07-17,2025-07-21,4,USD,643.69,checked_out,web
B000209,C01428,H008,H008-R021,2025-04-29,2025-05-16,2025-05-23,7,EUR,1550.71,confirmed,mobile
B000210,C01910,H001,H001-R006,2025-03-01,2025-03-09,2025-03-13,4,EUR,501.82,cancelled,walk_in
B000211,C02375,H007,H007-R019,2025-04-13,2025-04-22,2025-04-25,3,USD,629.06,cancelled,walk_in
B000212,C00899,H007,H007-R018,2025-01-17,2025-01-29,2025-01-30,1,EUR,122.14,confirmed,booking.com
B000213,C02011,H008,H008-R023,2025-03-11,2025-03-12,2025-03-13,1,USD,196.55,confirmed,web
B000214,C00749,H007,H007-R023,2025-04-25,2025-05-16,2025-05-21,5,USD,867.42,checked_out,walk_in
B000215,C00291,H006,H006-R016,2025-03-27,2025-04-13,2025-04-14,1,EUR,214.23,confirmed,booking.com
B000216,C00056,H004,H004-R022,2025-05-06,2025-05-23,2025-05-25,2,EUR,329.57,checked_out,walk_in
B000217,C02584,H006,H006-R016,2025-07-02,2025-07-04,2025-07-08,4,USD,496.78,checked_out,walk_in
B000218,C00109,H008,H008-R006,2025-06-23,2025-06-29,2025-07-03,4,EUR,614.59,confirmed,walk_in
B000219,C01281,H001,H001-R014,2025-02-28,2025-03-01,2025-03-02,1,EUR,192.81,confirmed,mobile
B000220,C00448,H001,H001-R011,2025-06-12,2025-06-20,2025-06-22,2,EUR,282.15,cancelled,web
B000221,C02011,H001,H001-R025,2025-05-01,2025-05-14,2025-05-16,2,GBP,441.74,confirmed,walk_in
B000222,C00787,H007,H007-R006,2025-02-07,2025-03-03,2025-03-06,3,USD,476.18,checked_out,expedia
B000223,C01157,H007,H007-R022,2025-02-10,2025-02-19,2025-02-20,1,EUR,136.2,confirmed,web
B000224,C01923,H001,H001-R008,2025-06-30,2025-07-10,2025-07-14,4,EUR,579.66,checked_out,booking.com
B000225,C00730,H007,H007-R013,2025-01-09,2025-01-26,2025-01-28,2,EUR,441.47,confirmed,mobile
B000226,C02831,H008,H008-R004,2025-07-19,2025-07-21,2025-07-24,3,USD,494.24,no_show,walk_in
B000227,C00693,H001,H001-R002,2025-05-19,2025-06-12,2025-06-13,1,EUR,182.78,checked_out,web
B000228,C02089,H006,H006-R010,2025-06-03,2025-06-17,2025-06-23,6,USD,1029.22,confirmed,expedia
B000229,C01088,H002,H002-R008,2025-02-24,2025-03-15,2025-03-19,4,EUR,681.62,checked_out,mobile
B000230,C01475,H007,H007-R009,2025-06-19,2025-07-07,2025-07-14,7,EUR,1264.18,confirmed,expedia
B000231,C02706,H002,H002-R025,2025-05-25,2025-06-14,2025-06-16,2,USD,298.86,checked_out,expedia
B000232,C00304,H007,H007-R004,2025-02-06,2025-02-28,2025-03-01,1,EUR,221.23,checked_out,web
B000233,C02043,H004,H004-R014,2025-03-25,2025-04-07,2025-04-09,2,EUR,247.39,checked_out,expedia
B000234,C01191,H001,H001-R004,2025-05-14,2025-06-01,2025-06-02,1,EUR,219.13,checked_out,mobile
B000235,C01268,H004,H004-R024,2025-04-03,2025-04-05,2025-04-06,1,EUR,121.04,confirmed,mobile
B000236,C01096,H002,H002-R013,2025-03-20,2025-04-01,2025-04-03,2,USD,262.11,confirmed,mobile
B000237,C02394,H004,H004-R005,2025-02-27,2025-03-14,2025-03-19,5,GBP,655.05,confirmed,mobile
B000238,C01237,H006,H006-R025,2025-07-16,2025-07-31,2025-08-04,4,USD,498.69,confirmed,mobile
B000239,C00297,H004,H004-R017,2025-07-04,2025-07-26,2025-07-31,5,EUR,741.37,confirmed,web
B000240,C02630,H002,H002-R022,2025-02-17,2025-03-09,2025-03-14,5,EUR,1049.01,confirmed,mobile
B000241,C01286,H001,H001-R005,2025-07-14,2025-07-19,2025-07-20,1,EUR,196.48,no_show,walk_in
B000242,C00607,H005,H005-R015,2025-02-04,2025-02-13,2025-02-20,7,USD,1543.59,checked_out,walk_in
B000243,C02175,H005,H005-R014,2025-05-08,2025-05-09,2025-05-10,1,EUR,149.68,confirmed,expedia
B000244,C02719,H006,H006-R025,2025-05-13,2025-05-20,2025-05-26,6,EUR,1294.98,checked_out,web
