payment_id,booking_id,provider,status,amount,currency,transaction_date
PJUU9PCCLJ,B005925,stripe,captured,1087.59,EUR,2025-05-24
PW26BXFBW2,B005446,pos,failed,151.16,EUR,2025-03-21
PP15PKMZK1,B004004,pos,captured,151.06,EUR,2025-07-12
PYWVB76X95,B000662,stripe,captured,1066.33,EUR,2025-07-06
PFI3K0TPNR,B003660,paypal,captured,293.07,EUR,2025-06-07
P09LG4RR7L,B005110,stripe,captured,644.66,GBP,2025-07-01
PDBLJ7LVEN,B002976,pos,authorized,1059.22,EUR,2025-05-27
P52FUAQ490,B003856,paypal,captured,644.91,EUR,2025-06-23
P6YIRRF6C0,B005630,adyen,captured,599.1,EUR,2025-03-02
PRG8LUR3UH,B005202,pos,captured,154.96,EUR,2025-04-12
P77FB2SS2R,B001798,adyen,failed,155.65,GBP,2025-07-11
PFTSM9QUMF,B000722,pos,captured,1542.03,GBP,2025-03-15
PVI8RI8KO0,B004178,stripe,captured,837.53,EUR,2025-03-02
PTM1LHEZFM,B005492,paypal,captured,179.34,EUR,2025-07-17
PKBHHHXOVB,B005327,adyen,chargeback,148.17,USD,2025-07-15
PVGU14LINU,B001591,paypal,captured,247.9,USD,2025-05-25
PVBWFS5N2Y,B002883,paypal,captured,424.02,EUR,2025-05-31
PS548DFHJ7,B001936,pos,captured,410.77,USD,2025-01-19
PRE8TCI6QZ,B001936,paypal,captured,586.82,USD,2025-01-25
PC789I10HQ,B000089,adyen,captured,147.86,USD,2025-05-03
P7V3A37EMJ,B000089,adyen,captured,211.23,USD,2025-05-12
P77CL0OCMB,B000208,paypal,captured,643.69,USD,2025-07-11
PQCYW3KKCB,B001151,paypal,failed,125.68,EUR,2025-03-16
PBNBGFRZE5,B003881,stripe,captured,366.6,USD,2025-05-02
PAISQ2IIWU,B003846,pos,captured,598.3,GBP,2025-03-25
PLX3FOWQ4K,B003180,paypal,captured,155.39,EUR,2025-05-17
PJYJU1L6OB,B000205,adyen,refunded,519.3,EUR,2025-04-16
PD4N3KXQP4,B002371,stripe,captured,490.46,USD,2025-02-03
PYZOP898Z3,B004667,pos,captured,261.16,EUR,2025-06-08
P86I13ZC8I,B002629,stripe,failed,919.11,EUR,2025-02-08
PKZL0042VR,B005643,stripe,captured,692.6,EUR,2025-07-20
P0JW0DNXLO,B002578,paypal,captured,539.21,EUR,2025-03-18
PJKJTYCK70,B005577,paypal,captured,1236.47,EUR,2025-02-09
PA77P6TFK8,B000122,stripe,captured,862.06,USD,2025-07-14
PBHA1LMNXY,B003949,pos,authorized,342.57,USD,2025-05-22
P0BFGETCKA,B003949,pos,captured,489.39,USD,2025-05-22
PCZNG8DH22,B002570,paypal,refunded,430.37,USD,2025-01-28
PYPK6TA7F2,B002570,paypal,captured,614.81,USD,2025-01-27
PU3X8XKGZ8,B000364,stripe,captured,185.97,EUR,2025-07-23
PRNVRR5MO3,B003121,stripe,failed,724.53,EUR,2025-02-12
PTKU55K0GK,B005409,paypal,captured,1282.61,GBP,2025-02-03
P6CKP5TO2J,B000890,adyen,captured,917.97,EUR,2025-04-14
PMQJY3C8C9,B002482,pos,failed,86.86,USD,2025-01-30
P76PQMT0QA,B002482,adyen,failed,124.09,USD,2025-02-06
PX6OD6HE7S,B001707,stripe,refunded,921.63,USD,2025-07-26
POX3OG6Q16,B002178,pos,chargeback,949.6,GBP,2025-05-08
PFQM5VQK0D,B002393,paypal,captured,445.52,EUR,2025-02-16
PPS3N6A6N6,B002388,paypal,captured,529.04,EUR,2025-05-19
PS96Q7VP3P,B002388,pos,captured,755.77,EUR,2025-05-16
P9FWXSLWCJ,B004168,paypal,captured,358.36,EUR,2025-01-07
P0Z07OQ6T1,B001016,stripe,captured,885.35,EUR,2025-07-08
P3KOPQY7C6,B003328,stripe,authorized,579.45,EUR,2025-02-06
P096GV8LSF,B001663,adyen,chargeback,752.07,EUR,2025-07-24
P88IXW8D2R,B001470,adyen,captured,208.98,EUR,2025-02-16
P6WP08WZU7,B002350,stripe,captured,1145.97,USD,2025-02-18
PJ8GYBC5BK,B004892,stripe,captured,412.49,USD,2025-04-18
P3L184CE6T,B004691,stripe,captured,199.23,GBP,2025-05-01
PFI2LBIA55,B003374,adyen,captured,847.68,USD,2025-03-17
P5XJ8DYI7F,B002501,pos,captured,338.44,USD,2025-04-13
PBVLVQNEXN,B002501,paypal,captured,483.48,USD,2025-04-15
PRDKY6WGUM,B003795,paypal,captured,378.07,EUR,2025-05-25
PDFSVWXQRF,B005710,stripe,captured,549.47,EUR,2025-04-30
PO7KWZJ77Y,B003822,adyen,captured,1099.26,EUR,2025-04-20
PTNB54LIAG,B005773,stripe,captured,196.27,EUR,2025-05-22
PUTOIFHJYI,B005789,stripe,captured,689.75,EUR,2025-05-13
PXBWGNRULD,B004949,adyen,captured,638.22,EUR,2025-01-13
PKX1BCGJ0L,B000187,stripe,captured,389.32,GBP,2025-01-12
PEUQ77SYEP,B005663,pos,captured,140.87,EUR,2025-05-01
P8CT1VHQNR,B005926,stripe,captured,328.43,EUR,2025-01-21
PKRNDFG3ID,B004799,pos,captured,416.88,XXX,2025-04-14
PN0R792O8N,B000810,stripe,captured,919.2,EUR,2025-04-11
PFSVC1CJWK,B000910,stripe,captured,826.32,EUR,2025-04-30
PZXEUCWEV9,B000910,stripe,captured,1180.46,EUR,2025-05-10
PJC8294BBD,B001390,pos,failed,394.22,EUR,2025-05-02
PCDYWGS6SS,B000585,stripe,captured,187.84,EUR,2025-04-12
PQMGW92A4C,B001747,pos,authorized,1079.7,USD,2025-04-16
PE9BDH9B6H,B001020,pos,captured,255.91,EUR,2025-01-06
P09WXBUFMP,B003337,adyen,authorized,796.24,USD,2025-06-25
PLR3TKO8LY,B005301,paypal,captured,223.57,GBP,2025-02-14
PDDMW797MT,B001227,pos,captured,615.25,EUR,2025-06-06
PXI2KKNDL0,B003875,stripe,captured,272.37,EUR,2025-01-21
PPJOT5DOZZ,B003875,pos,captured,389.1,EUR,2025-01-21
P0JV1H6AMR,B000954,paypal,failed,468.51,EUR,2025-04-19
PWQC4FBDCW,B005664,paypal,authorized,220.66,EUR,2025-07-24
PTAFHOY2HE,B004021,pos,captured,214.05,EUR,2025-07-17
PYZ6Y0B3AJ,B004021,stripe,failed,305.79,EUR,2025-07-12
PE74N93X79,B004474,stripe,captured,708.34,EUR,2025-01-13
P91OUN8PAR,B004474,paypal,authorized,1011.92,EUR,2025-01-17
PVB5AJTMCQ,B005540,stripe,captured,373.16,EUR,2025-07-08
P5N6DYTB8F,B000004,adyen,captured,1173.92,GBP,2025-04-05
PK20ER7EQC,B000274,pos,captured,131.65,USD,2025-06-12
P8UP79Z5QL,B000626,stripe,captured,762.16,EUR,2025-01-29
PLFJW44K70,B001427,paypal,authorized,1051.16,GBP,2025-04-13
P7GAUWX0EF,B000964,stripe,captured,859.95,EUR,2025-02-24
PDOK0UR3RU,B002437,adyen,captured,1296.37,USD,2025-05-23
P1PBET14E0,B003018,stripe,captured,201.1,EUR,2025-04-03
PBRVRZZG8Z,B002989,stripe,captured,829.27,GBP,2025-05-09
PBTM41ZX6M,B004380,pos,captured,206.51,USD,2025-01-28
PANILEACW0,B001098,adyen,captured,377.86,EUR,2025-03-06
P6EPOIT6B5,B004966,pos,captured,298.37,USD,2025-05-27
P1OQH33BIZ,B000739,stripe,captured,735.77,USD,2025-07-11
P0ESKOWR6B,B001584,adyen,failed,583.5,EUR,2025-05-11
P8VVWNWOWB,B000618,stripe,failed,160.21,EUR,2025-01-04
PY75S6UPUL,B001344,paypal,captured,545.59,EUR,2025-05-15
P8FL699JJ0,B000400,pos,failed,299.78,EUR,2025-02-01
PP42SF1RN7,B002185,paypal,captured,352.45,USD,2025-05-06
PHSHIFJ1QR,B004608,stripe,captured,122.59,GBP,2025-01-31
P9XQPLBMP3,B001858,paypal,captured,1280.57,EUR,2025-01-15
P6ZSZVX8EZ,B000751,pos,captured,384.46,EUR,2025-03-23
PRI9HCU1VT,B002278,pos,captured,178.99,GBP,2025-03-23
PUPJ6HIHX7,B002072,stripe,failed,175.78,GBP,2025-06-29
PN7B8DAR76,B002072,adyen,captured,251.12,GBP,2025-07-07
PO8WZBTEYI,B004576,paypal,captured,389.87,EUR,2025-07-09
PCDPX6B50B,B002785,paypal,captured,323.69,EUR,2025-03-03
PCUIO1U9LM,B005933,stripe,captured,315.61,EUR,2025-04-21
PQHWW61UF9,B001901,paypal,captured,371.88,EUR,2025-05-16
P5Q5V54PDT,B002611,pos,captured,617.14,GBP,2025-02-12
PJ3X559IQI,B003648,pos,captured,973.05,USD,2025-07-12
PIRKHJSEES,B005856,stripe,authorized,209.4,EUR,2025-01-25
P1LDGPLQ2D,B005980,paypal,captured,734.28,EUR,2025-02-16
P5G2O60JHV,B001644,paypal,captured,410.48,EUR,2025-03-05
PQFMHRZI1J,B001765,adyen,captured,446.03,EUR,2025-05-24
PUWHKVDVB9,B005387,stripe,captured,142.55,EUR,2025-03-04
PAQVX3DLA6,B001129,stripe,failed,182.32,GBP,2025-01-22
PLAEEGT2E0,B001607,pos,captured,189.97,USD,2025-01-15
PWFGJHN5S1,B004420,adyen,captured,856.92,EUR,2025-07-03
PCN5MIEEHC,B001963,pos,failed,537.19,EUR,2025-04-03
PCYZUO5TMB,B005806,stripe,failed,260.37,USD,2025-05-22
PW1VM72X4F,B005103,pos,captured,971.03,EUR,2025-05-30
PU6EHVCQGA,B004518,stripe,captured,213.95,EUR,2025-02-19
PM9LE5OD2H,B002483,adyen,captured,823.81,USD,2025-01-15
PCW2RH43UA,B005923,adyen,failed,1481.47,EUR,2025-03-01
PE0L8G06D2,B005612,paypal,captured,171.71,EUR,2025-07-10
PJVG0JX2S2,B005612,adyen,captured,245.3,EUR,2025-07-15
PE7RQR0W27,B000214,stripe,captured,867.42,USD,2025-05-04
PI7HDKUUHO,B005820,pos,failed,378.1,EUR,2025-03-05
P7EF7OKQL3,B003888,adyen,captured,551.76,EUR,2025-07-23
PGWG3J6KPW,B005678,pos,failed,208.07,GBP,2025-07-21
PXGVPTTG1E,B004404,stripe,captured,355.64,USD,2025-03-16
PAYCV454J3,B004891,stripe,captured,134.45,EUR,2025-03-13
PFV9WD4B13,B001620,paypal,captured,754.11,GBP,2025-01-15
P5YJO1VNHW,B000016,stripe,failed,124.95,GBP,2025-01-13
PUTW94E0DX,B002213,pos,authorized,505.06,EUR,2025-04-30
PPIC38POW0,B000794,paypal,captured,151.97,USD,2025-07-14
P645SX89MD,B001203,paypal,captured,621.25,USD,2025-03-22
PZ4PYBYMTG,B000939,pos,captured,135.08,EUR,2025-06-26
P3ME55NGHC,B003432,paypal,captured,364.15,EUR,2025-01-24
PQNPBCEL3V,B005625,adyen,captured,541.16,EUR,2025-03-04
PQY998HCD4,B005483,adyen,failed,854.36,ZZZ,2025-01-08
PN13MPTDKI,B001973,stripe,captured,720.88,EUR,2025-01-19
PQCGU1AELX,B001576,paypal,captured,200.41,EUR,2025-03-16
P0DW18R62U,B001576,stripe,captured,286.3,EUR,2025-03-17
P1X6AH2XVM,B003203,adyen,captured,119.34,USD,2025-06-18
PSLUFJTQBC,B004239,stripe,captured,282.52,EUR,2025-03-14
P4YSKH6Y9R,B002134,pos,captured,262.15,EUR,2025-02-20
PIGVQ1DE54,B004032,adyen,captured,559.39,USD,2025-02-04
PMY5MA9SVX,B004032,paypal,captured,799.13,USD,2025-02-01
PLPH5EAYGP,B002144,pos,captured,239.67,EUR,2025-04-21
PGNQBJM1XQ,B003002,stripe,captured,433.68,USD,2025-01-08
PNU3F0ICDH,B002651,stripe,captured,864.93,EUR,2025-05-10
PLWJ05MJD1,B001955,paypal,captured,148.04,GBP,2025-07-21
PJ80DZ36JN,B000684,pos,captured,661.82,EUR,2025-03-01
P5M0JQTP42,B003308,pos,captured,186.1,EUR,2025-03-18
P85RTMZJVZ,B002839,stripe,captured,352.37,EUR,2025-02-08
PRSAYMY7W3,B005899,paypal,captured,289.44,EUR,2025-02-03
PF8GN78X2Y,B000796,adyen,authorized,659.45,EUR,2025-01-13
PEJHRNA4TM,B004249,pos,failed,255.07,EUR,2025-02-13
P3TI4PCNY1,B003059,adyen,captured,419.37,EUR,2025-03-31
P7FTGGN268,B005241,paypal,captured,808.91,GBP,2025-05-27
P1IQGQZ9YR,B004810,adyen,failed,330.65,EUR,2025-05-27
PZ0D3S9X9D,B000922,stripe,failed,663.85,EUR,2025-01-14
P3MIN7BF28,B005629,paypal,captured,203.92,USD,2025-04-19
P7GPLMTHRX,B000073,stripe,captured,1556.36,USD,2025-05-29
P5T7DUWD8L,B004364,paypal,chargeback,531.76,EUR,2025-05-29
P1F02CK05A,B001808,stripe,captured,786.15,EUR,2025-02-12
PX90NCICEA,B004345,stripe,captured,622.5,EUR,2025-06-15
P6YM7IU9LG,B000888,adyen,captured,902.32,EUR,2025-04-05
PAM3XVNOAR,B002099,paypal,authorized,1184.09,EUR,2025-01-11
PK5C6N63JW,B000749,pos,captured,649.45,USD,2025-05-04
PVZTY0O88T,B001835,pos,captured,344.47,EUR,2025-05-27
PVZTD2T7A3,B005990,stripe,captured,1300.19,USD,2025-03-18
P10PYUKWDK,B000386,adyen,captured,148.15,EUR,2025-03-11
POUFTN5AR8,B005500,pos,captured,371.14,EUR,2025-06-30
PWVCH8YWC0,B000499,paypal,captured,1149.64,EUR,2025-04-14
P9ZBFE97NV,B003289,paypal,captured,160.15,EUR,2025-01-29
PDMV40SEJM,B004158,pos,chargeback,517.29,EUR,2025-02-25
P7TZZXT9Q7,B000605,adyen,refunded,191.63,EUR,2025-01-26
PWULDXHOOC,B004937,paypal,failed,159.3,EUR,2025-05-12
P0CANINSAK,B003575,adyen,captured,215.43,EUR,2025-02-11
PHC3BTJGQT,B004277,pos,captured,130.03,GBP,2025-02-09
P4J6L7VTEC,B003485,pos,failed,480.72,USD,2025-02-27
P3CX8C4PN9,B000258,pos,authorized,698.12,ZZZ,2025-07-29
P9ULJNXTY8,B004074,adyen,captured,296.06,EUR,2025-01-25
PJNZC4DL4A,B004006,paypal,captured,502.37,EUR,2025-07-12
P62NLTAXKX,B003243,paypal,failed,195.15,EUR,2025-07-21
PRHZLKNNOB,B003188,paypal,refunded,607.66,USD,2025-03-28
PMMQY7AVST,B005947,pos,captured,547.15,USD,2025-04-05
PWW0UZVKST,B005947,pos,captured,781.65,USD,2025-04-15
POZHNRK7Q2,B004462,paypal,captured,556.62,EUR,2025-01-10
P0B93A89WU,B004203,pos,captured,361.18,USD,2025-07-06
P3VFOQZT42,B004562,pos,captured,386.45,EUR,2025-07-13
PF1SWU09HV,B001108,adyen,captured,810.6,USD,2025-07-16
P6A3UCRHNX,B001365,paypal,captured,436.35,EUR,2025-05-24
PQGQ3ECSPV,B003260,pos,captured,154.93,EUR,2025-01-08
PKCXDIJRMA,B005871,stripe,captured,594.71,USD,2025-05-15
PJAPTK29ZT,B001716,pos,failed,1116.11,EUR,2025-06-05
PZHS23IJXF,B004860,adyen,captured,1017.84,EUR,2025-06-02
PYTOIQ42PT,B003816,paypal,captured,218.43,USD,2025-06-25
PS8AIYEOXN,B005384,stripe,authorized,528.41,EUR,2025-01-05
P8ZKTJ1T9T,B002270,pos,authorized,369.84,EUR,2025-03-08
PSSKCE7B0U,B003884,adyen,refunded,491.26,EUR,2025-02-07
PCEMPXCO78,B004925,stripe,authorized,662.05,EUR,2025-03-27
PXEHGMVY5A,B002253,stripe,failed,790.29,EUR,2025-03-10
PZRA9Z1J72,B002699,pos,captured,441.21,EUR,2025-07-08
PCJJU9NBZC,B001032,paypal,captured,1258.7,USD,2025-07-14
P0ZB219JAQ,B002024,adyen,captured,488.74,EUR,2025-06-14
P8RJOT6CWU,B004628,stripe,captured,193.01,EUR,2025-07-15
PNRMWYEIRS,B004598,stripe,captured,185.36,GBP,2025-05-24
PY8Z833QPM,B000815,pos,captured,1006.02,EUR,2025-03-22
PET8ZVF4FT,B001210,adyen,failed,102.43,EUR,2025-07-04
PW64G3PCRR,B001210,pos,captured,146.33,EUR,2025-06-28
PXPONU6QBC,B004649,stripe,failed,634.42,EUR,2025-02-28
PHDRSXOBOC,B000113,paypal,captured,153.42,EUR,2025-06-27
PMU4KDUMZ4,B001736,adyen,captured,826.61,EUR,2025-02-27
PAQOUPM981,B004378,stripe,captured,627.53,USD,2025-01-16
PC8EUKMLDL,B005055,stripe,captured,1003.23,EUR,2025-01-27
PGL8RISKMW,B000289,adyen,captured,548.13,GBP,2025-01-20
PNYKQRZGRX,B003708,adyen,refunded,509.63,EUR,2025-05-26
P4ZBMB1NS3,B005904,paypal,captured,127.45,EUR,2025-03-30
POB2XH9MYE,B004563,adyen,captured,120.77,EUR,2025-06-26
PUACTAF9M1,B000249,stripe,captured,307.98,EUR,2025-05-19
PV4XZ22DZ7,B001222,adyen,captured,1119.66,GBP,2025-04-08
PWGPYVQ3ET,B003080,stripe,authorized,298.94,EUR,2025-07-06
PJECNPRK5H,B001018,pos,captured,866.34,USD,2025-04-26
PJGXPMFS4L,B001302,adyen,authorized,279.07,GBP,2025-06-13
P3CPFKG25Y,B000339,adyen,captured,132.51,EUR,2025-05-06
PGFM6RVU5D,B002874,adyen,captured,514.7,EUR,2025-02-26
PP41XURUY0,B003190,adyen,captured,823.99,EUR,2025-01-26
PDP27FVHIA,B003849,stripe,captured,184.67,EUR,2025-01-03
PH8WYK0QGJ,B004864,stripe,captured,246.33,EUR,2025-02-25
P4D23PSXRR,B001651,adyen,captured,849.62,USD,2025-07-16
PKXWZ7ETI1,B000381,stripe,captured,664.07,GBP,2025-06-10
PSXUD83ITI,B000266,paypal,chargeback,415.1,EUR,2025-05-27
P57M7ZNJH2,B002176,paypal,authorized,497.92,EUR,2025-02-13
PPHO6X039G,B004759,adyen,captured,430.17,EUR,2025-06-02
P6IRYYAS7Z,B001686,adyen,captured,1012.41,GBP,2025-07-05
POOLX1T6NP,B000041,adyen,authorized,812.72,EUR,2025-02-22
PP3HPKIUFD,B000695,adyen,chargeback,734.93,EUR,2025-06-01
PRII0YIY60,B003160,stripe,captured,772.5,EUR,2025-06-11
P7JF9IRMGL,B003833,paypal,captured,209.13,USD,2025-02-04
P9WABCUC9N,B003151,pos,failed,420.37,USD,2025-04-01
POPX30I85C,B001206,paypal,captured,877.15,EUR,2025-01-16
PWU81DFD0A,B002959,paypal,captured,639.86,EUR,2025-05-03
PXCV01SYXX,B005271,pos,failed,254.36,EUR,2025-04-26
PKT81OF237,B005285,adyen,refunded,583.35,GBP,2025-05-07
PRFJO6Y5OI,B003821,pos,chargeback,160.48,EUR,2025-06-29
P6QFQ1V5VG,B005601,stripe,chargeback,341.65,EUR,2025-04-03
PWY882WWHT,B005601,pos,captured,488.07,EUR,2025-04-11
P07RFLREYA,B001110,stripe,captured,1300.71,EUR,2025-03-31
P6SXGZAL2V,B001063,paypal,failed,928.98,GBP,2025-06-13
PCE69O60VP,B001063,adyen,captured,1327.11,GBP,2025-06-07
PR32CLTHJE,B004353,pos,captured,413.39,GBP,2025-03-26
PMRCO1GFA4,B003110,paypal,refunded,390.15,USD,2025-02-09
PM1O9TRWTC,B002265,pos,captured,420.42,EUR,2025-02-19
PFK8RY4H81,B005229,pos,captured,327.49,EUR,2025-02-13
PG4UBMLE94,B005439,stripe,failed,469.86,GBP,2025-03-05
P2CHHCI4AZ,B001161,paypal,chargeback,1494.07,USD,2025-07-16
P3IFTXT136,B000276,stripe,authorized,400.32,EUR,2025-07-15
P8DX5AY1YH,B000867,adyen,captured,138.34,EUR,2025-01-22
PRD0KJSYLP,B000958,paypal,authorized,355.58,EUR,2025-06-05
PQHO6PZJX5,B004916,stripe,captured,210.31,EUR,2025-07-20
PY9T49CY65,B000697,pos,captured,250.48,EUR,2025-02-17
PDU3YQAIVR,B005231,pos,captured,933.43,ZZZ,2025-05-26
PFPYREC5BP,B001668,pos,failed,363.25,USD,2025-05-24
PLBOST6XGE,B000378,adyen,captured,590.22,EUR,2025-03-05
PKRQSZ74UY,B005270,adyen,refunded,1083.54,GBP,2025-06-25
P8ARZT219Z,B001126,stripe,chargeback,476.82,EUR,2025-06-29
PR7QRMYFK9,B001126,pos,authorized,681.17,EUR,2025-06-20
P1VF5P3YHZ,B000318,paypal,captured,400.54,EUR,2025-03-04
P0COPXVI83,B001701,paypal,captured,757.48,EUR,2025-05-28
PNTYUY9G8X,B001458,stripe,captured,210.05,EUR,2025-02-14
PO9PKJ3HVY,B005353,paypal,captured,97.18,USD,2025-02-07
PWSBTVK4P1,B005353,adyen,captured,138.83,USD,2025-02-03
PICRPX454X,B005419,pos,captured,201.55,EUR,2025-05-23
P2E54NF8L5,B000875,paypal,captured,1278.69,EUR,2025-07-26
PXZRJTALYI,B001157,paypal,captured,266.41,EUR,2025-04-18
P8G9INMLCG,B001476,adyen,failed,166.83,EUR,2025-05-24
PV1O6WYESU,B005498,stripe,captured,431.94,EUR,2025-02-07
P1BZFSJM9F,B001399,adyen,failed,199.17,EUR,2025-03-04
PX4MNQIEX9,B005440,stripe,captured,895.66,EUR,2025-06-14
P9PXU4HBET,B005298,paypal,captured,168.74,EUR,2025-06-30
P0XGRE7AR3,B003368,pos,refunded,312.34,USD,2025-04-24
PQEGJTWWM0,B003368,pos,chargeback,446.2,USD,2025-04-24
PFRH0YID60,B000243,stripe,refunded,149.68,EUR,2025-05-13
PKK9O97HQ6,B003359,stripe,captured,1086.8,EUR,2025-01-11
PUO6A5QVHZ,B000878,stripe,captured,193.81,USD,2025-03-16
PECQ4GQZGT,B000596,stripe,authorized,468.92,EUR,2025-04-02
PYN1T571FL,B005828,adyen,captured,656.97,GBP,2025-06-11
P8A58SL1EB,B005143,paypal,captured,687.56,EUR,2025-03-24
PGFEVEIBTP,B002856,adyen,failed,696.44,USD,2025-05-02
P0NFZSVLH0,B005891,stripe,refunded,952.98,EUR,2025-01-10
PZDVFXGTXB,B005029,adyen,failed,254.36,EUR,2025-02-08
P02AGYWQLU,B005888,stripe,authorized,309.64,EUR,2025-05-09
PBYQ9DCF6S,B003350,pos,captured,1086.79,EUR,2025-06-02
PGK6VGLT5A,B000290,pos,captured,347.59,EUR,2025-05-21
PIYCIMPBTC,B000290,stripe,authorized,496.56,EUR,2025-05-24
P93PW0E4DN,B001695,adyen,failed,432.71,EUR,2025-02-23
PEKJRQZED2,B004135,adyen,captured,267.05,EUR,2025-05-22
P07H65APR8,B003578,adyen,authorized,1155.41,USD,2025-05-03
P8CSKJL7OG,B004841,paypal,failed,196.07,EUR,2025-02-01
P7WPYJ1COG,B004293,stripe,captured,992.21,EUR,2025-02-13
PDN2U8RAHB,B005045,paypal,captured,514.35,EUR,2025-02-26
P56JNVCPH3,B004894,pos,captured,190.12,EUR,2025-03-25
PB8294NPZ8,B004315,paypal,captured,415.12,EUR,2025-04-12
P6ZD9RETYU,B004315,adyen,captured,593.03,EUR,2025-04-13
P8WP7YSEON,B002897,adyen,failed,403.2,EUR,2025-07-16
PXA5WJ43GF,B003338,adyen,captured,193.35,USD,2025-02-03
P4HWAUZ64M,B000840,adyen,captured,415.44,EUR,2025-05-25
PYPT5DRJHV,B004746,stripe,captured,120.55,USD,2025-05-02
PG7H5F4CYO,B004746,paypal,refunded,172.22,USD,2025-05-07
P23WBUCQ0F,B002848,adyen,captured,370.4,GBP,2025-04-12
PW1Z23HHWK,B000641,pos,failed,402.64,USD,2025-01-22
P8P9O4DUVV,B000947,adyen,failed,380.95,EUR,2025-01-20
P5M0B1LIP3,B005314,adyen,captured,515.4,EUR,2025-02-12
PYY5DVKNFY,B005744,adyen,refunded,674.23,EUR,2025-06-14
P428GCK7T9,B005292,pos,captured,742.6,USD,2025-07-04
PYD2XGRS4G,B003400,stripe,captured,1022.73,EUR,2025-05-25
P6965CBN3O,B003221,pos,captured,435.51,EUR,2025-06-12
P92DRRHS15,B005429,adyen,captured,133.12,EUR,2025-04-28
PN1R0DGOYC,B005305,adyen,refunded,147.82,EUR,2025-03-14
PIYBNIKX1P,B001287,paypal,captured,143.89,EUR,2025-04-30
PG2GIHFSUL,B004244,stripe,chargeback,407.8,GBP,2025-05-28
PEK4WSVVD1,B000522,stripe,captured,602.35,USD,2025-07-02
PLB609XPD8,B000464,adyen,authorized,358.83,EUR,2025-01-27
P934BQTNQQ,B000923,pos,captured,244.4,USD,2025-07-21
PV8V3F9HTS,B003893,adyen,captured,125.33,EUR,2025-01-21
PYCUIRBGDV,B005455,paypal,refunded,275.85,EUR,2025-01-21
PDG03IFCUW,B003089,adyen,captured,483.0,EUR,2025-06-02
PZBKRFJG6F,B005802,adyen,refunded,810.65,EUR,2025-06-10
PZ8N5ZHES5,B003291,stripe,authorized,598.04,EUR,2025-06-23
PB5ZCKHFA1,B005189,pos,captured,202.16,USD,2025-03-24
PHFC3XVR7A,B004602,stripe,captured,680.1,USD,2025-04-09
P2KRR0SC8S,B001299,pos,captured,283.29,USD,2025-05-24
PQK80V7ZVR,B001886,paypal,captured,1022.78,EUR,2025-01-10
PZQSDCYTST,B003551,stripe,captured,907.23,EUR,2025-03-01
PT6U0D2W5C,B005186,paypal,failed,541.2,EUR,2025-05-22
P56ARUDPUF,B003829,paypal,captured,595.79,EUR,2025-05-06
PEWQ227CYE,B003149,stripe,captured,508.97,EUR,2025-03-26
PEV96WBW2O,B002389,pos,captured,636.01,GBP,2025-02-15
PXPT5X7HZU,B002389,pos,refunded,908.58,GBP,2025-02-22
